name,subTopic
Building Community,Grow & Support Your Community
Leadership and Governance,Grow & Support Your Community
Social Coding and Open Source Collaboration,Understand Collaborative Workflows
Writing Documentation for Software Projects,Practice Core Skills
Making Good Pull Requests,Understand Collaborative Workflows
Issue Tracking with GitHub,Understand Collaborative Workflows
Collaborative Git for Teams,Understand Collaborative Workflows
Collaboration in Open Research Projects,Advance Open Research
Python Packaging,Build Reliable Systems
Python Packaging for Beginners,Build Reliable Systems
R Packaging,Build Reliable Systems
Introduction to Git,Practice Core Skills
How to Contribute to Open Source,Learn the Basics
Continuous Integration and Delivery with GitHub Actions,Build Reliable Systems
CI/CD for Research Software with GitLab CI,Build Reliable Systems
Unit Testing and TDD in Python,Build Reliable Systems
Starting an Open Source Project,Sustain Your Project
Finding Users for Your Project,Sustain Your Project
Metrics,Sustain Your Project
Best Practices for Maintainers,Sustain Your Project
Effective Code Review,Build Reliable Systems
Python Package Development Best Practices,Build Reliable Systems
Building Better Research Software,Advance Open Research
Reproducible Research,Advance Open Research
Intermediate Research Software Development Skills (Python) Lesson Material,Advance Open Research
Introduction to Docker for Research  NOTE THIS IS NOW CALLED Introduction to Docker and Podman,Build Reliable Systems
Research Software Engineering with Python  Course,Advance Open Research
Intermediate Python Development,Build Reliable Systems
Modular Programming with Python,Build Reliable Systems
Testing and Test-Driven Development,Build Reliable Systems
Reproducible Computational Environments using Containers,Build Reliable Systems
Understanding Software Licensing,Learn Licensing Fundamentals